2022-12-06 02:43:13 - Task preparing to start
Dec  6 04:38:05 2022-12-06 13:14:03.975040+09:00 #011 [0.04543719790963696, 0.05637775538635059]
Dec  6 04:38:05 2022-12-06 13:15:09.183041+09:00 #011 [0.04543719790963696, 0.054778395649717204]
Dec  6 04:38:05 2022-12-06 13:16:13.980529+09:00 #011 [0.04442170556698766, 0.054778395649717204]
Dec  6 04:38:05 2022-12-06 13:17:18.791026+09:00 #011 [0.04442170556698766, 0.054778395649717204]
Dec  6 04:38:05 2022-12-06 13:18:24.394734+09:00 #011 [0.042976984502187565, 0.05073877569636498]
Dec  6 04:38:05 2022-12-06 13:19:29.043025+09:00 #011 [0.042976984502187565, 0.052342257494175315]
Dec  6 04:38:05 2022-12-06 13:20:33.899031+09:00 #011 [0.0419588749112324, 0.05073877569636498]
Dec  6 04:38:05 2022-12-06 13:21:38.387100+09:00 #011 [0.042976984502187565, 0.052342257494175315]
Dec  6 04:38:05 2022-12-06 13:22:43.227046+09:00 #011 [0.04276153937584337, 0.049513922503715335]
Dec  6 04:38:05 2022-12-06 13:23:47.987028+09:00 #011 [0.04522547363742424, 0.05516331234308969]
Dec  6 04:38:05 2022-12-06 13:24:52.871027+09:00 #011 [0.04522547363742424, 0.05516331234308969]
Dec  6 04:38:05 2022-12-06 13:25:57.877352+09:00 #011 [0.04399509409314273, 0.05394573929198554]
Dec  6 04:38:05 2022-12-06 13:27:02.363035+09:00 #011 [0.04276153937584337, 0.05111947331029687]
Dec  6 04:38:05 2022-12-06 13:28:07.182423+09:00 #011 [0.04050405681356262, 0.04989352947736436]
Dec  6 04:38:05 2022-12-06 13:29:12.107267+09:00 #011 [0.04480038593734326, 0.052725024116878405]
Dec  6 04:38:05 2022-12-06 13:30:17.059037+09:00 #011 [0.045819809218093144, 0.052725024116878405]
Dec  6 04:38:05 2022-12-06 13:31:21.695363+09:00 #011 [0.04480038593734326, 0.05111947331029687]
Dec  6 04:38:05 2022-12-06 13:32:26.839031+09:00 #011 [0.045607758639022444, 0.05471640496225083]
Dec  6 04:38:05 2022-12-06 13:33:31.427042+09:00 #011 [0.045607758639022444, 0.05471640496225083]
Dec  6 04:38:05 2022-12-06 13:34:36.495030+09:00 #011 [0.048878079060342916, 0.05433057492345994]
Dec  6 04:38:05 2022-12-06 13:35:41.427026+09:00 #011 [0.04480038593734326, 0.052725024116878405]
Dec  6 04:38:05 2022-12-06 13:36:46.215057+09:00 #011 [0.04480038593734326, 0.052725024116878405]
Dec  6 06:30:48 2022-12-06 13:37:51.035038+09:00 #011 [0.04254553754374657, 0.04989352947736436]
Dec  6 06:30:48 2022-12-06 13:39:05.857182+09:00 #011 [0.04378096265659348, 0.05111947331029687]
Dec  6 06:30:48 2022-12-06 13:40:10.499843+09:00 #011 [0.04378096265659348, 0.05111947331029687]
Dec  6 06:30:48 2022-12-06 13:41:15.335040+09:00 #011 [0.04276153937584337, 0.052725024116878405]
